sys_id,opened_at,closed_at,category,priority,assignment_group,short_description,description
SR10011,2026-04-05 11:13:00,2026-04-05 13:31:47,Access,3 - Moderate,Service Desk,사내 인트라넷 계정 잠금 해제 요청,비밀번호를 5회 잘못 입력하여 사내 포털 계정이 잠겼습니다. 잠금 해제 및 임시 비밀번호 발급 부탁드립니다.
SR10012,2026-02-13 17:46:00,2026-02-14 01:04:35,Software,3 - Moderate,Software Support,데이터베이스 클라이언트 툴 설치 요청,업무를 위해 DBeaver 설치가 필요합니다. 사내 소프트웨어 포털에서 설치가 안 되어 지원 요청합니다.
SR10013,2026-04-08 08:59:00,2026-04-08 15:15:19,Hardware,2 - High,Hardware Support,회의실 빔프로젝터 연결 케이블 파손,대회의실 빔프로젝터에 연결하는 HDMI 케이블 단자가 파손되어 화면 출력이 되지 않습니다. 교체 바랍니다.
SR10014,2026-01-15 07:52:00,2026-01-15 20:06:20,HR,2 - High,HR Team,경조사 휴가 및 경조금 신청,가족 상가로 인한 특별 휴가 신청서와 경조금 지급 신청서류를 제출합니다.
SR10015,2026-03-10 02:13:00,2026-03-10 04:23:06,Network,2 - High,Service Desk,네트워크 스위치 재부팅 요청,개발 서버 대역의 네트워크 연결 상태가 불안정하여 스위치 장비 확인 및 재부팅을 요청합니다.
SR10016,2026-05-08 12:56:00,2026-05-09 04:27:20,HR,3 - Moderate,Service Desk,올해 연차 잔여 일수 확인 요청,포털에 표시되는 잔여 연차 일수와 실제 사용 일수가 상이한 것 같아 정확한 확인을 요청합니다.
SR10017,2026-02-05 07:47:00,2026-02-05 10:50:24,Access,3 - Moderate,Security Team,신규 입사자 시스템 권한 일괄 신청,"다음 주 입사 예정인 신입 사원의 메일, 메신저, 사내 시스템 접근 권한 일괄 생성을 요청합니다."
SR10018,2026-04-20 18:25:00,2026-04-20 23:34:58,HR,1 - Critical,Service Desk,사내 교육 수강 이력 반영 요청,지난주 완료한 직무 교육 수강 확인서를 첨부하오니 교육 이력에 반영해 주시기 바랍니다.
SR10019,2026-05-11 15:05:00,2026-05-11 21:07:25,Software,3 - Moderate,Software Support,MS Office 365 로그인 인증 오류,아웃룩과 액셀 실행 시 라이선스 인증 창이 계속 뜨며 정품 인증이 풀리는 현상이 있습니다.
SR10020,2026-02-10 21:27:00,2026-02-11 02:37:24,Network,3 - Moderate,Network Support,사내 VPN 접속 오류 발생,외부 출장 중에 사내 VPN에 접속하려고 하면 403 에러가 발생하며 로그인이 되지 않습니다.
SR10021,2026-04-08 19:29:00,2026-04-09 14:55:41,HR,2 - High,HR Team,사원증 분실로 인한 재발급 신청,출근 중 사원증을 분실하여 재발급을 요청합니다. 출입 권한 이전도 같이 요청합니다.
SR10022,2026-01-03 21:46:00,2026-01-05 12:13:47,HR,4 - Low,Service Desk,사내 교육 수강 이력 반영 요청,지난주 완료한 직무 교육 수강 확인서를 첨부하오니 교육 이력에 반영해 주시기 바랍니다.
SR10023,2026-01-29 09:27:00,2026-01-29 14:46:44,Network,4 - Low,Service Desk,와이파이 신호 불량 및 속도 저하,회의실 A에서 사내 와이파이 연결이 자주 끊기고 속도가 너무 느려서 회의 진행이 어렵습니다.
SR10024,2026-03-09 16:48:00,2026-03-09 19:47:01,Hardware,2 - High,Service Desk,듀얼 모니터 미인식 문제,모니터를 새로 연결했는데 PC에서 듀얼 모니터 인식이 안 되고 화면이 나오지 않습니다.
SR10025,2026-05-10 19:12:00,2026-05-11 06:45:00,Hardware,3 - Moderate,Hardware Support,마우스 및 키보드 교체 요청,"키보드의 특정 키가 눌린 채로 안 올라오고, 마우스 휠이 정상적으로 작동하지 않아 업무에 지장이 있습니다. 새 장비로 교체 요청합니다."
SR10026,2026-05-19 16:58:00,2026-05-20 04:56:33,Hardware,4 - Low,Service Desk,노트북 전원 불량 및 켜지지 않음,어제 저녁까지 잘 쓰던 노트북이 오늘 아침에 전원 버튼을 눌러도 반응이 없고 충전 표시등도 켜지지 않습니다.
SR10027,2026-01-05 03:59:00,2026-01-05 06:39:17,Network,3 - Moderate,Service Desk,네트워크 스위치 재부팅 요청,개발 서버 대역의 네트워크 연결 상태가 불안정하여 스위치 장비 확인 및 재부팅을 요청합니다.
SR10028,2026-01-15 07:56:00,2026-01-15 10:16:20,Software,2 - High,Service Desk,MS Office 365 로그인 인증 오류,아웃룩과 액셀 실행 시 라이선스 인증 창이 계속 뜨며 정품 인증이 풀리는 현상이 있습니다.
SR10029,2026-05-05 02:48:00,2026-05-06 20:23:40,HR,3 - Moderate,HR Team,재직증명서 국문 및 영문 발급 요청,"은행 제출용 재직증명서 국문 1부, 비자 신청용 영문 1부를 급히 발급 요청합니다."
SR10030,2026-05-02 17:10:00,2026-05-03 21:13:15,HR,3 - Moderate,HR Team,올해 연차 잔여 일수 확인 요청,포털에 표시되는 잔여 연차 일수와 실제 사용 일수가 상이한 것 같아 정확한 확인을 요청합니다.
SR10031,2026-05-19 23:44:00,2026-05-20 01:12:15,Software,2 - High,Service Desk,MS Office 365 로그인 인증 오류,아웃룩과 액셀 실행 시 라이선스 인증 창이 계속 뜨며 정품 인증이 풀리는 현상이 있습니다.
SR10032,2026-04-06 14:57:00,2026-04-07 02:38:07,Hardware,4 - Low,Service Desk,회의실 빔프로젝터 연결 케이블 파손,대회의실 빔프로젝터에 연결하는 HDMI 케이블 단자가 파손되어 화면 출력이 되지 않습니다. 교체 바랍니다.
SR10033,2026-03-05 07:04:00,2026-03-06 00:41:34,HR,2 - High,Service Desk,재직증명서 국문 및 영문 발급 요청,"은행 제출용 재직증명서 국문 1부, 비자 신청용 영문 1부를 급히 발급 요청합니다."
SR10034,2026-05-22 07:37:00,2026-05-22 15:52:42,Software,3 - Moderate,Software Support,데이터베이스 클라이언트 툴 설치 요청,업무를 위해 DBeaver 설치가 필요합니다. 사내 소프트웨어 포털에서 설치가 안 되어 지원 요청합니다.
SR10035,2026-01-16 07:04:00,2026-01-16 19:50:59,Hardware,3 - Moderate,Hardware Support,듀얼 모니터 미인식 문제,모니터를 새로 연결했는데 PC에서 듀얼 모니터 인식이 안 되고 화면이 나오지 않습니다.
SR10036,2026-05-12 07:17:00,2026-05-12 10:37:30,Network,4 - Low,Service Desk,인터넷 연결 끊김 장애,오늘 아침부터 특정 층 전체 인터넷 연결이 끊겼습니다. 급한 업무가 많은데 빠른 확인 부탁드립니다.
SR10037,2026-02-03 23:59:00,2026-02-04 02:21:38,Access,3 - Moderate,Security Team,보안 서버 접근용 SSH 키 등록,운영 서버 점검을 위해 개발자 공개 SSH 키 등록을 요청합니다.
SR10038,2026-05-02 13:12:00,2026-05-03 13:47:00,HR,3 - Moderate,Service Desk,올해 연차 잔여 일수 확인 요청,포털에 표시되는 잔여 연차 일수와 실제 사용 일수가 상이한 것 같아 정확한 확인을 요청합니다.
SR10039,2026-04-01 13:26:00,2026-04-01 18:26:10,Network,3 - Moderate,Network Support,네트워크 스위치 재부팅 요청,개발 서버 대역의 네트워크 연결 상태가 불안정하여 스위치 장비 확인 및 재부팅을 요청합니다.
SR10040,2026-01-16 12:46:00,2026-01-16 15:43:52,Access,3 - Moderate,Security Team,신규 프로젝트 공유 폴더 접근 권한 신청,이번에 신규 생성된 공유 폴더인 'Project_2026'에 대한 읽기/쓰기 권한 부여를 신청합니다.
SR10041,2026-02-19 06:34:00,2026-02-19 09:24:10,Software,2 - High,Software Support,MS Office 365 로그인 인증 오류,아웃룩과 액셀 실행 시 라이선스 인증 창이 계속 뜨며 정품 인증이 풀리는 현상이 있습니다.
SR10042,2026-02-16 08:29:00,2026-02-16 08:59:00,Access,1 - Critical,Security Team,Jira 및 Confluence 프로젝트 관리자 권한 부여,부서 이동으로 인해 특정 Jira 프로젝트의 관리 권한 인계가 필요합니다.
SR10043,2026-05-21 03:03:00,2026-05-21 19:19:35,Hardware,3 - Moderate,Hardware Support,회의실 빔프로젝터 연결 케이블 파손,대회의실 빔프로젝터에 연결하는 HDMI 케이블 단자가 파손되어 화면 출력이 되지 않습니다. 교체 바랍니다.
SR10044,2026-03-02 05:26:00,2026-03-04 11:05:32,HR,4 - Low,HR Team,재직증명서 국문 및 영문 발급 요청,"은행 제출용 재직증명서 국문 1부, 비자 신청용 영문 1부를 급히 발급 요청합니다."
SR10045,2026-04-13 01:10:00,2026-04-13 02:39:48,Access,3 - Moderate,Service Desk,사내 인트라넷 계정 잠금 해제 요청,비밀번호를 5회 잘못 입력하여 사내 포털 계정이 잠겼습니다. 잠금 해제 및 임시 비밀번호 발급 부탁드립니다.
SR10046,2026-03-09 14:18:00,2026-03-09 16:38:10,Access,3 - Moderate,Security Team,Jira 및 Confluence 프로젝트 관리자 권한 부여,부서 이동으로 인해 특정 Jira 프로젝트의 관리 권한 인계가 필요합니다.
SR10047,2026-02-18 09:13:00,2026-02-18 10:05:24,Access,2 - High,Service Desk,사내 인트라넷 계정 잠금 해제 요청,비밀번호를 5회 잘못 입력하여 사내 포털 계정이 잠겼습니다. 잠금 해제 및 임시 비밀번호 발급 부탁드립니다.
SR10048,2026-01-15 01:37:00,2026-01-15 09:07:03,Network,4 - Low,Network Support,와이파이 신호 불량 및 속도 저하,회의실 A에서 사내 와이파이 연결이 자주 끊기고 속도가 너무 느려서 회의 진행이 어렵습니다.
SR10049,2026-05-11 02:54:00,2026-05-11 08:01:54,Access,4 - Low,Security Team,신규 프로젝트 공유 폴더 접근 권한 신청,이번에 신규 생성된 공유 폴더인 'Project_2026'에 대한 읽기/쓰기 권한 부여를 신청합니다.
SR10050,2026-01-18 21:55:00,2026-01-20 05:12:24,Hardware,4 - Low,Hardware Support,PC 메모리 추가 장착 요청,최근 코딩 작업 시 메모리 부족으로 인해 PC 속도가 급격히 느려집니다. 기존 8GB에서 16GB로 업그레이드 요청합니다.
SR10051,2026-05-26 07:37:00,2026-05-26 22:19:57,Hardware,4 - Low,Service Desk,듀얼 모니터 미인식 문제,모니터를 새로 연결했는데 PC에서 듀얼 모니터 인식이 안 되고 화면이 나오지 않습니다.
SR10052,2026-01-21 13:42:00,2026-01-23 01:56:20,HR,3 - Moderate,HR Team,사내 교육 수강 이력 반영 요청,지난주 완료한 직무 교육 수강 확인서를 첨부하오니 교육 이력에 반영해 주시기 바랍니다.
SR10053,2026-02-22 21:45:00,2026-02-23 15:37:32,HR,3 - Moderate,Service Desk,경조사 휴가 및 경조금 신청,가족 상가로 인한 특별 휴가 신청서와 경조금 지급 신청서류를 제출합니다.
SR10054,2026-04-12 04:42:00,2026-04-12 13:26:48,Software,4 - Low,Software Support,신규 백신 프로그램 설치 실패,사내 보안 정책에 따라 백신 프로그램을 설치하려는데 설치 도중 에러가 나면서 롤백됩니다. 설치 지원 요청합니다.
SR10055,2026-01-19 00:29:00,2026-01-19 05:47:55,Software,3 - Moderate,Service Desk,신규 백신 프로그램 설치 실패,사내 보안 정책에 따라 백신 프로그램을 설치하려는데 설치 도중 에러가 나면서 롤백됩니다. 설치 지원 요청합니다.
SR10056,2026-05-18 06:32:00,2026-05-19 03:22:23,HR,2 - High,HR Team,재직증명서 국문 및 영문 발급 요청,"은행 제출용 재직증명서 국문 1부, 비자 신청용 영문 1부를 급히 발급 요청합니다."
SR10057,2026-01-18 07:23:00,2026-01-18 14:42:57,Software,3 - Moderate,Software Support,신규 백신 프로그램 설치 실패,사내 보안 정책에 따라 백신 프로그램을 설치하려는데 설치 도중 에러가 나면서 롤백됩니다. 설치 지원 요청합니다.
SR10058,2026-05-20 22:19:00,2026-05-21 03:23:51,Software,3 - Moderate,Software Support,Git 클라이언트 소스 동기화 에러,로컬 저장소에서 원격 저장소로 push를 할 때 권한 오류 또는 알 수 없는 오류로 실패합니다.
SR10059,2026-03-18 21:06:00,2026-03-21 11:49:49,HR,4 - Low,HR Team,사내 교육 수강 이력 반영 요청,지난주 완료한 직무 교육 수강 확인서를 첨부하오니 교육 이력에 반영해 주시기 바랍니다.
SR10060,2026-01-28 23:35:00,2026-01-29 13:56:59,Hardware,4 - Low,Service Desk,듀얼 모니터 미인식 문제,모니터를 새로 연결했는데 PC에서 듀얼 모니터 인식이 안 되고 화면이 나오지 않습니다.
SR10061,2026-02-23 22:21:00,2026-02-24 04:56:15,Hardware,3 - Moderate,Service Desk,마우스 및 키보드 교체 요청,"키보드의 특정 키가 눌린 채로 안 올라오고, 마우스 휠이 정상적으로 작동하지 않아 업무에 지장이 있습니다. 새 장비로 교체 요청합니다."
SR10062,2026-05-06 08:57:00,2026-05-06 21:40:10,Hardware,3 - Moderate,Service Desk,PC 메모리 추가 장착 요청,최근 코딩 작업 시 메모리 부족으로 인해 PC 속도가 급격히 느려집니다. 기존 8GB에서 16GB로 업그레이드 요청합니다.
SR10063,2026-03-12 01:00:00,2026-03-12 05:32:25,Network,3 - Moderate,Network Support,네트워크 스위치 재부팅 요청,개발 서버 대역의 네트워크 연결 상태가 불안정하여 스위치 장비 확인 및 재부팅을 요청합니다.
SR10064,2026-02-11 23:28:00,2026-02-12 03:39:28,Software,2 - High,Software Support,신규 백신 프로그램 설치 실패,사내 보안 정책에 따라 백신 프로그램을 설치하려는데 설치 도중 에러가 나면서 롤백됩니다. 설치 지원 요청합니다.
SR10065,2026-01-03 03:04:00,2026-01-04 02:48:51,HR,3 - Moderate,Service Desk,사내 교육 수강 이력 반영 요청,지난주 완료한 직무 교육 수강 확인서를 첨부하오니 교육 이력에 반영해 주시기 바랍니다.
SR10066,2026-05-30 17:09:00,2026-05-31 00:57:42,Hardware,2 - High,Hardware Support,마우스 및 키보드 교체 요청,"키보드의 특정 키가 눌린 채로 안 올라오고, 마우스 휠이 정상적으로 작동하지 않아 업무에 지장이 있습니다. 새 장비로 교체 요청합니다."
SR10067,2026-03-20 11:57:00,2026-03-20 15:04:01,Access,3 - Moderate,Security Team,신규 프로젝트 공유 폴더 접근 권한 신청,이번에 신규 생성된 공유 폴더인 'Project_2026'에 대한 읽기/쓰기 권한 부여를 신청합니다.
SR10068,2026-03-05 21:06:00,2026-03-05 23:17:16,Network,3 - Moderate,Service Desk,사내 VPN 접속 오류 발생,외부 출장 중에 사내 VPN에 접속하려고 하면 403 에러가 발생하며 로그인이 되지 않습니다.
SR10069,2026-02-09 07:55:00,2026-02-09 13:24:44,Software,3 - Moderate,Service Desk,데이터베이스 클라이언트 툴 설치 요청,업무를 위해 DBeaver 설치가 필요합니다. 사내 소프트웨어 포털에서 설치가 안 되어 지원 요청합니다.
SR10070,2026-01-07 05:47:00,2026-01-07 22:42:45,Hardware,3 - Moderate,Hardware Support,회의실 빔프로젝터 연결 케이블 파손,대회의실 빔프로젝터에 연결하는 HDMI 케이블 단자가 파손되어 화면 출력이 되지 않습니다. 교체 바랍니다.
SR10071,2026-03-10 05:50:00,2026-03-10 10:40:32,Software,3 - Moderate,Service Desk,MS Office 365 로그인 인증 오류,아웃룩과 액셀 실행 시 라이선스 인증 창이 계속 뜨며 정품 인증이 풀리는 현상이 있습니다.
SR10072,2026-05-01 07:12:00,2026-05-01 08:14:35,Network,2 - High,Service Desk,인터넷 연결 끊김 장애,오늘 아침부터 특정 층 전체 인터넷 연결이 끊겼습니다. 급한 업무가 많은데 빠른 확인 부탁드립니다.
SR10073,2026-02-28 07:01:00,2026-02-28 08:25:00,Access,2 - High,Service Desk,신규 입사자 시스템 권한 일괄 신청,"다음 주 입사 예정인 신입 사원의 메일, 메신저, 사내 시스템 접근 권한 일괄 생성을 요청합니다."
SR10074,2026-03-13 02:49:00,2026-03-13 08:17:18,Hardware,1 - Critical,Service Desk,마우스 및 키보드 교체 요청,"키보드의 특정 키가 눌린 채로 안 올라오고, 마우스 휠이 정상적으로 작동하지 않아 업무에 지장이 있습니다. 새 장비로 교체 요청합니다."
SR10075,2026-04-13 21:53:00,2026-04-13 23:52:10,Software,1 - Critical,Service Desk,데이터베이스 클라이언트 툴 설치 요청,업무를 위해 DBeaver 설치가 필요합니다. 사내 소프트웨어 포털에서 설치가 안 되어 지원 요청합니다.
SR10076,2026-01-30 08:11:00,2026-01-31 12:10:51,HR,3 - Moderate,Service Desk,재직증명서 국문 및 영문 발급 요청,"은행 제출용 재직증명서 국문 1부, 비자 신청용 영문 1부를 급히 발급 요청합니다."
SR10077,2026-01-28 19:27:00,2026-01-29 02:12:25,HR,2 - High,Service Desk,재직증명서 국문 및 영문 발급 요청,"은행 제출용 재직증명서 국문 1부, 비자 신청용 영문 1부를 급히 발급 요청합니다."
SR10078,2026-05-11 03:24:00,2026-05-11 07:41:12,Software,3 - Moderate,Service Desk,Git 클라이언트 소스 동기화 에러,로컬 저장소에서 원격 저장소로 push를 할 때 권한 오류 또는 알 수 없는 오류로 실패합니다.
SR10079,2026-01-12 22:27:00,2026-01-13 12:16:14,HR,2 - High,HR Team,경조사 휴가 및 경조금 신청,가족 상가로 인한 특별 휴가 신청서와 경조금 지급 신청서류를 제출합니다.
SR10080,2026-04-21 02:42:00,2026-04-21 07:17:09,Network,3 - Moderate,Network Support,와이파이 신호 불량 및 속도 저하,회의실 A에서 사내 와이파이 연결이 자주 끊기고 속도가 너무 느려서 회의 진행이 어렵습니다.
SR10081,2026-03-18 16:19:00,2026-03-18 21:49:45,Software,3 - Moderate,Service Desk,개발 IDE 라이선스 만료 및 갱신,사용 중인 IntelliJ 개발 라이선스가 만료되어 실행이 되지 않습니다. 라이선스 키 갱신 또는 재발급 요청합니다.
SR10082,2026-03-17 17:08:00,2026-03-17 19:56:32,Access,4 - Low,Service Desk,Jira 및 Confluence 프로젝트 관리자 권한 부여,부서 이동으로 인해 특정 Jira 프로젝트의 관리 권한 인계가 필요합니다.
SR10083,2026-02-14 19:36:00,2026-02-15 09:46:13,Hardware,3 - Moderate,Service Desk,회의실 빔프로젝터 연결 케이블 파손,대회의실 빔프로젝터에 연결하는 HDMI 케이블 단자가 파손되어 화면 출력이 되지 않습니다. 교체 바랍니다.
SR10084,2026-01-01 09:18:00,2026-01-01 10:24:14,Software,2 - High,Service Desk,데이터베이스 클라이언트 툴 설치 요청,업무를 위해 DBeaver 설치가 필요합니다. 사내 소프트웨어 포털에서 설치가 안 되어 지원 요청합니다.
SR10085,2026-03-24 14:28:00,2026-03-25 05:43:58,Hardware,3 - Moderate,Service Desk,PC 메모리 추가 장착 요청,최근 코딩 작업 시 메모리 부족으로 인해 PC 속도가 급격히 느려집니다. 기존 8GB에서 16GB로 업그레이드 요청합니다.
SR10086,2026-05-02 23:10:00,2026-05-03 01:45:07,Access,3 - Moderate,Security Team,보안 서버 접근용 SSH 키 등록,운영 서버 점검을 위해 개발자 공개 SSH 키 등록을 요청합니다.
SR10087,2026-03-27 02:52:00,2026-03-27 05:53:45,Network,2 - High,Service Desk,방화벽 포트 오픈 신청,신규 개발 시스템 구축을 위해 개발망과 운영망 간의 특정 포트 오픈이 필요합니다.
SR10088,2026-02-20 04:01:00,2026-02-20 09:13:26,Hardware,2 - High,Service Desk,노트북 전원 불량 및 켜지지 않음,어제 저녁까지 잘 쓰던 노트북이 오늘 아침에 전원 버튼을 눌러도 반응이 없고 충전 표시등도 켜지지 않습니다.
SR10089,2026-01-19 14:26:00,2026-01-19 16:08:30,Network,1 - Critical,Network Support,네트워크 스위치 재부팅 요청,개발 서버 대역의 네트워크 연결 상태가 불안정하여 스위치 장비 확인 및 재부팅을 요청합니다.
SR10090,2026-05-07 12:15:00,2026-05-08 03:52:50,HR,2 - High,HR Team,사원증 분실로 인한 재발급 신청,출근 중 사원증을 분실하여 재발급을 요청합니다. 출입 권한 이전도 같이 요청합니다.
SR10091,2026-04-19 07:11:00,2026-04-19 19:23:34,Hardware,3 - Moderate,Hardware Support,듀얼 모니터 미인식 문제,모니터를 새로 연결했는데 PC에서 듀얼 모니터 인식이 안 되고 화면이 나오지 않습니다.
SR10092,2026-05-23 07:58:00,2026-05-24 12:21:50,HR,3 - Moderate,Service Desk,재직증명서 국문 및 영문 발급 요청,"은행 제출용 재직증명서 국문 1부, 비자 신청용 영문 1부를 급히 발급 요청합니다."
SR10093,2026-04-29 21:33:00,2026-04-29 23:39:06,Network,3 - Moderate,Service Desk,사내 VPN 접속 오류 발생,외부 출장 중에 사내 VPN에 접속하려고 하면 403 에러가 발생하며 로그인이 되지 않습니다.
SR10094,2026-05-10 13:53:00,2026-05-11 12:44:02,HR,3 - Moderate,Service Desk,사원증 분실로 인한 재발급 신청,출근 중 사원증을 분실하여 재발급을 요청합니다. 출입 권한 이전도 같이 요청합니다.
SR10095,2026-05-02 14:16:00,2026-05-03 23:37:58,HR,4 - Low,Service Desk,올해 연차 잔여 일수 확인 요청,포털에 표시되는 잔여 연차 일수와 실제 사용 일수가 상이한 것 같아 정확한 확인을 요청합니다.
SR10096,2026-05-05 20:15:00,2026-05-06 06:41:58,Hardware,3 - Moderate,Service Desk,PC 메모리 추가 장착 요청,최근 코딩 작업 시 메모리 부족으로 인해 PC 속도가 급격히 느려집니다. 기존 8GB에서 16GB로 업그레이드 요청합니다.
SR10097,2026-03-15 07:17:00,2026-03-15 12:24:42,Software,3 - Moderate,Service Desk,개발 IDE 라이선스 만료 및 갱신,사용 중인 IntelliJ 개발 라이선스가 만료되어 실행이 되지 않습니다. 라이선스 키 갱신 또는 재발급 요청합니다.
SR10098,2026-01-21 04:09:00,2026-01-21 09:44:26,Software,3 - Moderate,Service Desk,데이터베이스 클라이언트 툴 설치 요청,업무를 위해 DBeaver 설치가 필요합니다. 사내 소프트웨어 포털에서 설치가 안 되어 지원 요청합니다.
SR10099,2026-02-24 02:26:00,2026-02-24 11:36:07,Hardware,3 - Moderate,Service Desk,노트북 전원 불량 및 켜지지 않음,어제 저녁까지 잘 쓰던 노트북이 오늘 아침에 전원 버튼을 눌러도 반응이 없고 충전 표시등도 켜지지 않습니다.
SR10100,2026-04-30 13:03:00,2026-04-30 15:28:13,Access,3 - Moderate,Service Desk,보안 서버 접근용 SSH 키 등록,운영 서버 점검을 위해 개발자 공개 SSH 키 등록을 요청합니다.
SR10101,2026-05-30 22:01:00,2026-05-31 07:47:07,Hardware,3 - Moderate,Service Desk,회의실 빔프로젝터 연결 케이블 파손,대회의실 빔프로젝터에 연결하는 HDMI 케이블 단자가 파손되어 화면 출력이 되지 않습니다. 교체 바랍니다.
SR10102,2026-01-02 11:19:00,2026-01-02 17:41:42,HR,2 - High,Service Desk,사원증 분실로 인한 재발급 신청,출근 중 사원증을 분실하여 재발급을 요청합니다. 출입 권한 이전도 같이 요청합니다.
SR10103,2026-05-20 19:57:00,2026-05-20 20:38:35,Access,1 - Critical,Service Desk,보안 서버 접근용 SSH 키 등록,운영 서버 점검을 위해 개발자 공개 SSH 키 등록을 요청합니다.
SR10104,2026-03-11 13:31:00,2026-03-11 22:53:35,Hardware,3 - Moderate,Service Desk,노트북 전원 불량 및 켜지지 않음,어제 저녁까지 잘 쓰던 노트북이 오늘 아침에 전원 버튼을 눌러도 반응이 없고 충전 표시등도 켜지지 않습니다.
SR10105,2026-04-14 23:10:00,2026-04-15 04:24:39,Network,4 - Low,Service Desk,와이파이 신호 불량 및 속도 저하,회의실 A에서 사내 와이파이 연결이 자주 끊기고 속도가 너무 느려서 회의 진행이 어렵습니다.
SR10106,2026-05-17 00:58:00,2026-05-17 04:25:51,Access,4 - Low,Security Team,보안 서버 접근용 SSH 키 등록,운영 서버 점검을 위해 개발자 공개 SSH 키 등록을 요청합니다.
SR10107,2026-04-20 04:55:00,2026-04-20 08:20:22,Access,3 - Moderate,Security Team,신규 프로젝트 공유 폴더 접근 권한 신청,이번에 신규 생성된 공유 폴더인 'Project_2026'에 대한 읽기/쓰기 권한 부여를 신청합니다.
SR10108,2026-03-08 12:20:00,2026-03-08 16:39:07,Access,4 - Low,Security Team,신규 프로젝트 공유 폴더 접근 권한 신청,이번에 신규 생성된 공유 폴더인 'Project_2026'에 대한 읽기/쓰기 권한 부여를 신청합니다.
SR10109,2026-03-28 12:17:00,2026-03-28 20:57:35,Hardware,3 - Moderate,Service Desk,마우스 및 키보드 교체 요청,"키보드의 특정 키가 눌린 채로 안 올라오고, 마우스 휠이 정상적으로 작동하지 않아 업무에 지장이 있습니다. 새 장비로 교체 요청합니다."
SR10110,2026-05-01 00:47:00,2026-05-01 04:08:56,Access,4 - Low,Service Desk,신규 프로젝트 공유 폴더 접근 권한 신청,이번에 신규 생성된 공유 폴더인 'Project_2026'에 대한 읽기/쓰기 권한 부여를 신청합니다.
SR10111,2026-02-27 20:04:00,2026-02-28 16:48:47,HR,2 - High,HR Team,경조사 휴가 및 경조금 신청,가족 상가로 인한 특별 휴가 신청서와 경조금 지급 신청서류를 제출합니다.
SR10112,2026-02-21 00:39:00,2026-02-21 04:59:51,Network,3 - Moderate,Network Support,사내 VPN 접속 오류 발생,외부 출장 중에 사내 VPN에 접속하려고 하면 403 에러가 발생하며 로그인이 되지 않습니다.
SR10113,2026-05-02 21:07:00,2026-05-03 11:36:32,Hardware,3 - Moderate,Hardware Support,노트북 전원 불량 및 켜지지 않음,어제 저녁까지 잘 쓰던 노트북이 오늘 아침에 전원 버튼을 눌러도 반응이 없고 충전 표시등도 켜지지 않습니다.
